period,start,end,phase,n_nodes,possible_pairs,n_edges,density,avg_corr,avg_abs_corr,median_abs_corr,p90_abs_corr,positive_edge_share,negative_edge_share,intra_sector_share,inter_sector_share,largest_component_share,sector_assortativity,modularity,nmi_sector,ari_sector,graph_n_nodes,graph_n_edges
2018Q1,2018-01-01,2018-03-31,pre_crise,63,1953,158,0.080901,0.2598,0.268464,0.25984,0.475328,1.0,0.0,0.221519,0.778481,0.571429,0.023245,0.2346,0.5755,0.1347,63,158
2018Q2,2018-04-01,2018-06-30,pre_crise,65,2080,265,0.127404,0.29321,0.303139,0.298113,0.521671,1.0,0.0,0.196226,0.803774,0.753846,0.022648,0.1939,0.4785,0.1114,65,265
2018Q3,2018-07-01,2018-09-30,pre_crise,65,2080,302,0.145192,0.279592,0.301716,0.286959,0.547373,1.0,0.0,0.182119,0.817881,0.738462,0.007029,0.1335,0.4839,0.0716,65,302
2018Q4,2018-10-01,2018-12-31,pre_crise,65,2080,412,0.198077,0.329094,0.335481,0.33455,0.575692,1.0,0.0,0.148058,0.851942,0.784615,-0.004899,0.1449,0.425,0.0571,65,412
2019Q1,2019-01-01,2019-03-31,pre_crise,65,2080,197,0.094712,0.280575,0.291963,0.294371,0.497241,1.0,0.0,0.233503,0.766497,0.707692,0.05433,0.2412,0.5332,0.1375,65,197
2019Q2,2019-04-01,2019-06-30,pre_crise,65,2080,190,0.091346,0.262911,0.269565,0.255037,0.489771,1.0,0.0,0.236842,0.763158,0.646154,0.079826,0.2929,0.6041,0.185,65,190
2019Q3,2019-07-01,2019-09-30,pre_crise,65,2080,179,0.086058,0.297292,0.301005,0.296819,0.482822,1.0,0.0,0.385475,0.614525,0.830769,0.26144,0.4744,0.514,0.2337,65,179
2019Q4,2019-10-01,2019-12-31,pre_crise,67,2211,73,0.033017,0.209635,0.223481,0.213039,0.406989,0.986301,0.013699,0.424658,0.575342,0.567164,0.314631,0.6893,0.6341,0.2454,67,73
2020Q1,2020-01-01,2020-03-31,crise_covid,66,2145,2028,0.945455,0.707791,0.707791,0.725628,0.840697,1.0,0.0,0.108481,0.891519,1.0,-0.013056,0.0181,0.1178,0.0391,66,2028
2020Q2,2020-04-01,2020-06-30,crise_covid,66,2145,831,0.387413,0.390661,0.421977,0.442167,0.657326,1.0,0.0,0.163658,0.836342,0.893939,0.016733,0.1108,0.4541,0.2145,66,831
2020Q3,2020-07-01,2020-09-30,recuperacao,66,2145,339,0.158042,0.330342,0.332775,0.33549,0.540032,1.0,0.0,0.241888,0.758112,0.893939,0.1103,0.3601,0.551,0.2453,66,339
2020Q4,2020-10-01,2020-12-31,recuperacao,68,2278,254,0.111501,0.275519,0.284285,0.267185,0.512304,1.0,0.0,0.26378,0.73622,0.838235,0.139163,0.4086,0.4544,0.1367,68,254
