period,start,end,n_nodes,n_edges,modularity,nmi_sector,ari_sector
2018Q1,2018-01-01,2018-03-31,63,158,0.2346,0.5755,0.1347
2018Q2,2018-04-01,2018-06-30,65,265,0.1939,0.4785,0.1114
2018Q3,2018-07-01,2018-09-30,65,302,0.1335,0.4839,0.0716
2018Q4,2018-10-01,2018-12-31,65,412,0.1449,0.425,0.0571
2019Q1,2019-01-01,2019-03-31,65,197,0.2412,0.5332,0.1375
2019Q2,2019-04-01,2019-06-30,65,190,0.2929,0.6041,0.185
2019Q3,2019-07-01,2019-09-30,65,179,0.4744,0.514,0.2337
2019Q4,2019-10-01,2019-12-31,67,73,0.6893,0.6341,0.2454
2020Q1,2020-01-01,2020-03-31,66,2028,0.0181,0.1178,0.0391
2020Q2,2020-04-01,2020-06-30,66,831,0.1108,0.4541,0.2145
2020Q3,2020-07-01,2020-09-30,66,339,0.3601,0.551,0.2453
2020Q4,2020-10-01,2020-12-31,68,254,0.4086,0.4544,0.1367
2021Q1,2021-01-01,2021-03-31,70,497,0.2696,0.4661,0.1896
2021Q2,2021-04-01,2021-06-30,74,104,0.5995,0.6095,0.2094
2021Q3,2021-07-01,2021-09-30,75,508,0.2655,0.4699,0.2195
2021Q4,2021-10-01,2021-12-31,75,727,0.1825,0.485,0.2025
2022Q1,2022-01-01,2022-03-31,76,468,0.2123,0.5012,0.1567
2022Q2,2022-04-01,2022-06-30,77,262,0.4568,0.5325,0.2518
2022Q3,2022-07-01,2022-09-30,77,354,0.4087,0.6041,0.2969
2022Q4,2022-10-01,2022-12-31,77,1026,0.1135,0.4438,0.1778
2023Q1,2023-01-01,2023-03-31,77,546,0.2165,0.5285,0.2337
2023Q2,2023-04-01,2023-06-30,77,301,0.3846,0.5802,0.3149
2023Q3,2023-07-01,2023-09-30,77,307,0.3653,0.6186,0.3295
2023Q4,2023-10-01,2023-12-31,77,733,0.1118,0.5353,0.2156
2024Q1,2024-01-01,2024-03-31,77,142,0.491,0.6087,0.2453
2024Q2,2024-04-01,2024-06-30,77,298,0.2418,0.4765,0.1066
2024Q3,2024-07-01,2024-09-30,77,211,0.3768,0.5614,0.1458
2024Q4,2024-10-01,2024-12-31,77,1003,0.0756,0.4858,0.1945
2025Q1,2025-01-01,2025-03-31,77,818,0.1183,0.4315,0.1789
2025Q2,2025-04-01,2025-06-30,77,393,0.2996,0.4882,0.2061
2025Q3,2025-07-01,2025-09-30,78,454,0.1528,0.5647,0.2268
2025Q4,2025-10-01,2025-12-31,78,641,0.11,0.4558,0.1516
