id,ticker_clean,sector,industry,community,avg_volume,avg_volatility,total_return,period,start,end
ABEV3.SA,ABEV3,Consumer Defensive,Beverages - Brewers,0,13575602.0,16.4905,11.3278,2018Q1,2018-01-01,2018-03-31
ALOS3.SA,ALOS3,Real Estate,Real Estate Services,1,47262.0,21.0108,-3.6742,2018Q1,2018-01-01,2018-03-31
AXIA3.SA,AXIA3,Utilities,Utilities - Renewable,2,2985356.0,44.2206,11.7616,2018Q1,2018-01-01,2018-03-31
AZZA3.SA,AZZA3,Consumer Cyclical,Footwear & Accessories,3,246751.0,32.5441,-10.2132,2018Q1,2018-01-01,2018-03-31
B3SA3.SA,B3SA3,Financial Services,Financial Data & Stock Exchanges,2,27744920.0,28.5529,16.4993,2018Q1,2018-01-01,2018-03-31
BBAS3.SA,BBAS3,Financial Services,Banks - Regional,2,19490826.0,31.3093,25.565,2018Q1,2018-01-01,2018-03-31
BBDC3.SA,BBDC3,Financial Services,Banks - Regional,2,2392164.0,32.4447,19.3491,2018Q1,2018-01-01,2018-03-31
BBDC4.SA,BBDC4,Financial Services,Banks - Regional,2,19030145.0,27.8191,14.3347,2018Q1,2018-01-01,2018-03-31
BBSE3.SA,BBSE3,Financial Services,Insurance - Diversified,2,3165259.0,25.9491,5.2864,2018Q1,2018-01-01,2018-03-31
BEEF3.SA,BEEF3,Consumer Defensive,Packaged Foods,4,1291872.0,26.5045,-30.4867,2018Q1,2018-01-01,2018-03-31
BPAC11.SA,BPAC11,Financial Services,Capital Markets,5,2873390.0,24.8466,26.2095,2018Q1,2018-01-01,2018-03-31
BRAP4.SA,BRAP4,Financial Services,Asset Management,6,3993742.0,32.9868,6.3133,2018Q1,2018-01-01,2018-03-31
BRKM5.SA,BRKM5,Basic Materials,Chemicals,6,1408392.0,29.0403,9.4391,2018Q1,2018-01-01,2018-03-31
CMIG4.SA,CMIG4,Utilities,Utilities - Regulated Electric,21,21967652.0,40.8986,22.9885,2018Q1,2018-01-01,2018-03-31
COGN3.SA,COGN3,Consumer Defensive,Education & Training Services,8,11486768.0,29.6874,-25.3743,2018Q1,2018-01-01,2018-03-31
CPFE3.SA,CPFE3,Utilities,Utilities - Regulated Electric,9,694515.0,18.1276,28.2038,2018Q1,2018-01-01,2018-03-31
CPLE3.SA,CPLE3,Utilities,Utilities - Regulated Electric,21,661656.0,25.4796,11.7418,2018Q1,2018-01-01,2018-03-31
CSAN3.SA,CSAN3,Energy,Oil & Gas Refining & Marketing,10,4876269.0,31.5841,-2.4442,2018Q1,2018-01-01,2018-03-31
CSMG3.SA,CSMG3,Utilities,Utilities - Regulated Water,11,1415198.0,19.5279,11.9246,2018Q1,2018-01-01,2018-03-31
CSNA3.SA,CSNA3,Basic Materials,Steel,6,10356884.0,51.1745,1.3825,2018Q1,2018-01-01,2018-03-31
CYRE3.SA,CYRE3,Consumer Cyclical,Residential Construction,2,2290779.0,24.9826,14.7898,2018Q1,2018-01-01,2018-03-31
DIRR3.SA,DIRR3,Real Estate,Real Estate - Development,12,1828555.0,31.1648,4.1096,2018Q1,2018-01-01,2018-03-31
EGIE3.SA,EGIE3,Utilities,Utilities - Renewable,2,1661031.0,18.3194,9.6305,2018Q1,2018-01-01,2018-03-31
EMBJ3.SA,EMBJ3,Industrials,Aerospace & Defense,13,3705343.0,32.75,5.1205,2018Q1,2018-01-01,2018-03-31
ENEV3.SA,ENEV3,Utilities,Utilities - Diversified,14,1495797.0,15.1809,-6.383,2018Q1,2018-01-01,2018-03-31
ENGI11.SA,ENGI11,Utilities,Utilities - Regulated Electric,15,1384156.0,24.4342,30.8349,2018Q1,2018-01-01,2018-03-31
EQTL3.SA,EQTL3,Utilities,Utilities - Regulated Electric,16,4700168.0,18.9853,8.9757,2018Q1,2018-01-01,2018-03-31
FLRY3.SA,FLRY3,Healthcare,Diagnostics & Research,17,1958784.0,31.8025,-6.0829,2018Q1,2018-01-01,2018-03-31
GGBR4.SA,GGBR4,Basic Materials,Steel,6,17518113.0,50.1723,19.7293,2018Q1,2018-01-01,2018-03-31
GOAU4.SA,GOAU4,Basic Materials,Steel,6,25539910.0,39.7089,18.0166,2018Q1,2018-01-01,2018-03-31
HYPE3.SA,HYPE3,Healthcare,Drug Manufacturers - Specialty & Generic,18,1645223.0,23.8892,0.5841,2018Q1,2018-01-01,2018-03-31
ISAE4.SA,ISAE4,Utilities,Utilities - Independent Power Producers,19,1109908.0,19.6816,-1.3207,2018Q1,2018-01-01,2018-03-31
ITSA4.SA,ITSA4,Industrials,Conglomerates,2,24158777.0,29.9496,31.2754,2018Q1,2018-01-01,2018-03-31
ITUB4.SA,ITUB4,Financial Services,Banks - Regional,2,23667420.0,28.9795,22.2051,2018Q1,2018-01-01,2018-03-31
KLBN11.SA,KLBN11,Basic Materials,Paper & Paper Products,20,2797691.0,19.6927,14.7882,2018Q1,2018-01-01,2018-03-31
LREN3.SA,LREN3,Consumer Cyclical,Department Stores,2,3836440.0,31.6412,-2.6205,2018Q1,2018-01-01,2018-03-31
MBRF3.SA,MBRF3,Consumer Defensive,Packaged Foods,11,1374746.0,35.6164,-18.6301,2018Q1,2018-01-01,2018-03-31
MGLU3.SA,MGLU3,Consumer Cyclical,Specialty Retail,21,5028016.0,48.0556,23.4679,2018Q1,2018-01-01,2018-03-31
MOTV3.SA,MOTV3,Industrials,Infrastructure Operations,22,9609598.0,43.8942,-24.5169,2018Q1,2018-01-01,2018-03-31
MRVE3.SA,MRVE3,Real Estate,Real Estate - Development,23,3189392.0,20.163,7.4025,2018Q1,2018-01-01,2018-03-31
MULT3.SA,MULT3,Real Estate,Real Estate Services,2,2523575.0,22.6452,-4.9412,2018Q1,2018-01-01,2018-03-31
NATU3.SA,NATU3,Consumer Defensive,Household & Personal Products,24,1289445.0,28.8855,-0.4479,2018Q1,2018-01-01,2018-03-31
PETR3.SA,PETR3,Energy,Oil & Gas Integrated,21,9591625.0,37.1907,34.7952,2018Q1,2018-01-01,2018-03-31
PETR4.SA,PETR4,Energy,Oil & Gas Integrated,11,46957521.0,36.8032,29.3656,2018Q1,2018-01-01,2018-03-31
POMO4.SA,POMO4,Industrials,Farm & Heavy Construction Machinery,21,3334695.0,31.2413,-0.5178,2018Q1,2018-01-01,2018-03-31
PRIO3.SA,PRIO3,Energy,Oil & Gas E&P,25,5627623.0,59.7931,-30.9538,2018Q1,2018-01-01,2018-03-31
PSSA3.SA,PSSA3,Financial Services,Insurance - Diversified,26,1056584.0,29.9958,33.4066,2018Q1,2018-01-01,2018-03-31
RADL3.SA,RADL3,Healthcare,Pharmaceutical Retailers,11,5556400.0,22.2172,-17.1342,2018Q1,2018-01-01,2018-03-31
RAIL3.SA,RAIL3,Industrials,Railroads,2,7429749.0,35.9371,1.2317,2018Q1,2018-01-01,2018-03-31
RENT3.SA,RENT3,Industrials,Rental & Leasing Services,2,3561142.0,35.2096,26.4717,2018Q1,2018-01-01,2018-03-31
SANB11.SA,SANB11,Financial Services,Banks - Regional,2,1654951.0,27.6352,27.0528,2018Q1,2018-01-01,2018-03-31
SBSP3.SA,SBSP3,Utilities,Utilities - Regulated Water,11,7012735.0,28.2646,1.1561,2018Q1,2018-01-01,2018-03-31
SLCE3.SA,SLCE3,Consumer Defensive,Farm Products,27,2245553.0,28.9881,24.9548,2018Q1,2018-01-01,2018-03-31
SUZB3.SA,SUZB3,Basic Materials,Paper & Paper Products,28,5393377.0,47.0675,77.5413,2018Q1,2018-01-01,2018-03-31
TAEE11.SA,TAEE11,Utilities,Utilities - Regulated Electric,29,1438189.0,18.8871,1.2582,2018Q1,2018-01-01,2018-03-31
TIMS3.SA,TIMS3,Communication Services,Telecom Services,2,3561921.0,31.6698,9.0909,2018Q1,2018-01-01,2018-03-31
TOTS3.SA,TOTS3,Technology,Software - Application,30,1418530.0,23.8214,-4.4445,2018Q1,2018-01-01,2018-03-31
UGPA3.SA,UGPA3,Energy,Oil & Gas Refining & Marketing,2,4778031.0,16.3999,-6.7289,2018Q1,2018-01-01,2018-03-31
USIM5.SA,USIM5,Basic Materials,Steel,6,15410536.0,42.194,13.75,2018Q1,2018-01-01,2018-03-31
VALE3.SA,VALE3,Basic Materials,Other Industrial Metals & Mining,6,17887211.0,33.271,2.3239,2018Q1,2018-01-01,2018-03-31
VIVT3.SA,VIVT3,Communication Services,Telecom Services,7,53505.0,27.2108,6.7633,2018Q1,2018-01-01,2018-03-31
WEGE3.SA,WEGE3,Industrials,Electrical Equipment & Parts,6,4952024.0,26.8121,-9.1033,2018Q1,2018-01-01,2018-03-31
YDUQ3.SA,YDUQ3,Consumer Defensive,Education & Training Services,11,3404708.0,36.1892,3.2477,2018Q1,2018-01-01,2018-03-31
ABEV3.SA,ABEV3,Consumer Defensive,Beverages - Brewers,0,17520222.0,17.8517,-16.1226,2018Q2,2018-04-01,2018-06-30
ALOS3.SA,ALOS3,Real Estate,Real Estate Services,1,54411.0,19.4739,-24.6205,2018Q2,2018-04-01,2018-06-30
AXIA3.SA,AXIA3,Utilities,Utilities - Renewable,14,3908968.0,65.916,-35.1251,2018Q2,2018-04-01,2018-06-30
AZZA3.SA,AZZA3,Consumer Cyclical,Footwear & Accessories,9,328122.0,47.9616,-19.8305,2018Q2,2018-04-01,2018-06-30
B3SA3.SA,B3SA3,Financial Services,Financial Data & Stock Exchanges,4,34905890.0,36.2745,-9.405,2018Q2,2018-04-01,2018-06-30
BBAS3.SA,BBAS3,Financial Services,Banks - Regional,4,23290911.0,40.4505,-11.4677,2018Q2,2018-04-01,2018-06-30
BBDC3.SA,BBDC3,Financial Services,Banks - Regional,4,4627864.0,33.54,-16.6591,2018Q2,2018-04-01,2018-06-30
BBDC4.SA,BBDC4,Financial Services,Banks - Regional,4,22381370.0,29.3888,-14.2018,2018Q2,2018-04-01,2018-06-30
BBSE3.SA,BBSE3,Financial Services,Insurance - Diversified,6,3169251.0,24.5601,-12.0155,2018Q2,2018-04-01,2018-06-30
BEEF3.SA,BEEF3,Consumer Defensive,Packaged Foods,7,1364142.0,45.8082,-42.4242,2018Q2,2018-04-01,2018-06-30
BPAC11.SA,BPAC11,Financial Services,Capital Markets,4,2099213.0,19.4916,1.5164,2018Q2,2018-04-01,2018-06-30
BRAP4.SA,BRAP4,Financial Services,Asset Management,14,5312654.0,39.7998,5.8479,2018Q2,2018-04-01,2018-06-30
BRKM5.SA,BRKM5,Basic Materials,Chemicals,8,1614719.0,43.9893,26.1544,2018Q2,2018-04-01,2018-06-30
CMIG4.SA,CMIG4,Utilities,Utilities - Regulated Electric,9,19839637.0,36.7284,11.4774,2018Q2,2018-04-01,2018-06-30
COGN3.SA,COGN3,Consumer Defensive,Education & Training Services,9,11612763.0,52.3544,-48.3362,2018Q2,2018-04-01,2018-06-30
CPFE3.SA,CPFE3,Utilities,Utilities - Regulated Electric,4,397135.0,19.3192,12.7943,2018Q2,2018-04-01,2018-06-30
CPLE3.SA,CPLE3,Utilities,Utilities - Regulated Electric,9,596540.0,27.7088,-6.3999,2018Q2,2018-04-01,2018-06-30
CSAN3.SA,CSAN3,Energy,Oil & Gas Refining & Marketing,10,7470267.0,29.9861,-14.9469,2018Q2,2018-04-01,2018-06-30
CSMG3.SA,CSMG3,Utilities,Utilities - Regulated Water,4,1889124.0,27.9536,0.8866,2018Q2,2018-04-01,2018-06-30
CSNA3.SA,CSNA3,Basic Materials,Steel,14,9422232.0,52.8331,-9.447,2018Q2,2018-04-01,2018-06-30
CYRE3.SA,CYRE3,Consumer Cyclical,Residential Construction,4,2855325.0,39.0623,-14.0874,2018Q2,2018-04-01,2018-06-30
DIRR3.SA,DIRR3,Real Estate,Real Estate - Development,4,2568963.0,32.4046,2.0548,2018Q2,2018-04-01,2018-06-30
EGIE3.SA,EGIE3,Utilities,Utilities - Renewable,11,1826186.0,22.6759,1.1177,2018Q2,2018-04-01,2018-06-30
EMBJ3.SA,EMBJ3,Industrials,Aerospace & Defense,12,3156579.0,36.0265,18.7995,2018Q2,2018-04-01,2018-06-30
ENEV3.SA,ENEV3,Utilities,Utilities - Diversified,13,1009949.0,27.0674,-15.6028,2018Q2,2018-04-01,2018-06-30
ENGI11.SA,ENGI11,Utilities,Utilities - Regulated Electric,4,819740.0,25.8028,10.2859,2018Q2,2018-04-01,2018-06-30
