date,ABEV3.SA,ALOS3.SA,ASAI3.SA,AURE3.SA,AXIA3.SA,AZZA3.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BPAC11.SA,BRAP4.SA,BRAV3.SA,BRKM5.SA,CEAB3.SA,CMIG4.SA,CMIN3.SA,COGN3.SA,CPFE3.SA,CPLE3.SA,CSAN3.SA,CSMG3.SA,CSNA3.SA,CURY3.SA,CXSE3.SA,CYRE3.SA,DIRR3.SA,EGIE3.SA,EMBJ3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,ISAE4.SA,ITSA4.SA,ITUB4.SA,KLBN11.SA,LREN3.SA,MBRF3.SA,MGLU3.SA,MOTV3.SA,MRVE3.SA,MULT3.SA,NATU3.SA,PETR3.SA,PETR4.SA,POMO4.SA,PRIO3.SA,PSSA3.SA,RADL3.SA,RAIL3.SA,RDOR3.SA,RECV3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMFT3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VBBR3.SA,VIVA3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2018-01-02,15.339713,18.630674,,,13.986599,43.802509,5.648291,9.390287,11.12583,12.166621,13.367786,8.407753,3.667649,4.20216,,33.291176,,1.498755,,14.881513,12.097425,1.230477,8.852772,6.886004,5.220693,,,8.135427,1.000009,11.773575,20.210405,3.525,17.459721,10.877667,18.72098,6.5036,2.470741,,26.423496,,7.831895,4.080354,15.457805,10.838816,20.852949,4.467326,20.938086,12.751442,10.739914,18.784098,31.883646,4.809077,4.277943,1.817456,1.706259,11.481569,15.508381,12.250866,,,17.908052,18.283033,5.38098,3.451246,,16.151331,9.288568,7.978171,9.073103,13.412889,7.521603,21.669315,,,,11.152701,8.202623,26.494812
2018-01-03,15.375076,18.772038,,,13.80795,45.125141,5.744441,9.510056,11.173162,12.222546,13.377098,8.345987,3.702579,4.241883,,33.010342,,1.485834,,15.011337,11.948,1.223909,8.852772,6.722688,5.413161,,,8.172071,0.970899,11.694467,20.978632,3.535,17.459721,10.899186,18.354597,6.493572,2.462573,,26.01189,,7.672677,4.128446,15.563477,10.701843,21.118406,4.41837,20.674049,12.659043,10.89608,18.859489,31.626999,4.870127,4.316715,1.868197,1.73721,11.689752,15.124316,11.883058,,,18.151968,18.132212,5.284558,3.481202,,16.030993,9.301555,7.984216,9.2657,13.280449,7.772324,21.539465,,,,10.829434,8.078044,26.518284
2018-01-04,15.290209,18.727396,,,13.718626,46.548916,5.781421,9.601306,11.376624,12.423087,13.405047,8.315106,3.716162,4.362472,,33.511299,,1.468608,,15.214198,11.860831,1.218536,8.831967,6.619044,5.581571,,,8.239257,0.981173,11.54285,21.471094,3.5075,17.180937,10.776377,17.987377,6.844576,2.552419,,26.202991,,7.462325,4.206131,15.88757,10.719711,21.236382,4.41837,21.170441,12.705245,10.825096,18.83869,32.574623,4.911753,4.32447,1.923551,1.797313,11.699215,15.240907,11.901918,,,18.411621,18.350065,5.181915,3.467473,,16.073973,9.154393,7.947953,9.20852,13.43554,8.211082,21.627762,,,,10.947967,7.999359,26.408764
2018-01-05,15.346789,18.749714,,,13.592084,44.985096,5.865247,9.601306,11.380076,12.493451,13.493548,8.407753,3.777605,4.467455,,34.323471,,1.470762,,15.181742,11.66782,1.236447,8.923511,6.672437,5.707877,,,8.367517,0.982885,11.602179,20.338444,3.525,17.433783,10.882484,18.246965,6.759333,2.560587,,26.445547,,7.582027,4.21353,15.933377,10.618465,21.106602,4.455087,20.75326,12.759144,10.98126,18.976486,32.574623,4.950603,4.350318,1.900486,1.898551,11.926326,15.508381,11.883058,,,18.144106,18.545576,5.241013,3.532377,,16.030993,9.197673,8.014437,9.407136,13.463427,7.858506,21.965372,,,,10.974909,8.032144,26.048933
2018-01-08,15.318496,18.228893,,,13.68141,44.432697,5.892366,9.624124,11.380076,12.489934,13.572725,8.122091,3.823894,4.545484,,34.384186,,1.475068,,14.508258,11.854604,1.246596,8.84653,6.713265,5.98455,,,8.410273,0.977748,11.6681,20.38769,3.4525,17.14852,11.025064,17.772108,6.995008,2.593258,,26.173599,,7.542514,4.209831,15.880528,10.80904,21.000418,4.375532,20.755899,12.582042,10.76121,18.739897,32.189651,5.028304,4.402016,1.863585,2.04232,11.866391,15.311209,12.033953,,,18.057549,18.904568,5.348321,3.513655,,16.417801,9.154393,7.905643,9.401117,13.557524,7.944693,22.453606,,,,11.090743,8.097713,26.142801
2018-01-09,15.276065,18.042879,,,13.138022,44.152607,5.808541,9.532869,11.293859,12.373834,13.52615,8.10665,3.797731,4.494411,,34.460094,,1.444921,,14.68677,11.89196,1.233462,8.603105,6.695992,6.146945,,,8.373627,0.984598,11.6681,19.92478,3.475,17.355984,11.025064,17.259274,7.035121,2.589173,,26.313244,,7.591326,4.143244,15.707913,10.689932,21.124302,4.320455,20.256872,12.589742,10.825096,18.794497,31.883646,5.028304,4.402016,1.854359,1.825668,11.948406,15.096884,11.647282,,,17.908052,18.770704,5.275227,3.514904,,16.589714,8.985586,7.917734,9.404126,13.505247,8.030877,22.370502,,,,11.061112,8.228849,25.696915
2018-01-10,15.276065,17.819672,,,12.609525,44.191513,5.756769,9.492945,11.221442,12.243654,13.470255,8.10665,3.771566,4.447593,,34.088165,,1.466455,,14.97077,12.452315,1.248985,8.436662,6.700704,6.164989,,,8.196504,0.989735,11.625253,19.983875,3.4,16.804899,10.940509,17.822767,6.939849,2.597342,,26.210344,,7.554137,4.143244,15.655065,10.481493,20.558001,4.314336,20.462818,12.281734,10.846393,18.6957,32.120552,4.933953,4.342564,1.858972,1.801107,12.207053,14.63566,11.618988,,,17.868713,18.735777,5.169473,3.601028,,16.684265,8.864395,7.730366,9.380054,13.40069,8.030877,22.058861,,,,10.921029,8.163283,25.720388
2018-01-11,15.452868,17.856874,,,12.80306,44.736118,5.850454,9.709663,11.380076,12.489934,13.54944,8.10665,3.763516,4.58237,,35.074905,,1.496601,,14.427115,12.857016,1.245999,8.521963,6.782362,6.525867,,,8.52021,0.991447,11.50989,20.190706,3.45,16.973467,11.005167,17.461874,7.506471,2.728026,,26.320597,,7.446054,4.209831,15.982695,10.42194,20.646484,4.320455,20.499788,12.281734,11.016753,18.929688,32.031715,5.056053,4.458884,1.877423,1.976825,12.456244,14.839698,11.864196,,,18.254257,19.015154,5.237902,3.606021,,16.624096,8.799473,7.760585,9.368013,13.452966,8.461802,22.489965,,,,11.360132,8.320644,26.51046
2018-01-12,15.276065,17.856874,,,12.512756,44.035912,5.82087,9.732482,11.380076,12.489934,13.577384,7.952237,3.77358,4.61358,,35.3937,,1.481528,,13.80232,12.564388,1.23585,8.675924,6.752525,6.32137,,,8.581288,0.960625,11.569222,19.944479,3.4725,17.025333,11.093037,17.354244,7.506471,2.797451,,26.827753,,7.564592,4.22093,15.968599,10.279009,20.823448,4.210302,20.478664,12.366436,10.995457,18.843889,32.604229,5.094903,4.471806,1.849746,1.914924,12.828444,14.83112,11.91135,,,17.923788,18.922028,5.269006,3.594788,,16.563927,8.799473,7.78476,9.352967,13.482594,8.634173,22.619816,,,,11.257767,8.38294,25.814257
2018-01-15,15.431654,17.775028,,,12.676517,45.545261,5.838127,9.780953,11.407661,12.577893,13.558755,7.952237,3.823894,4.610743,,36.22105,,1.475068,,13.74552,13.074932,1.232865,8.671764,6.796496,6.483764,,,8.788949,0.98631,11.631844,19.79674,3.495,16.986433,11.273746,17.639153,7.431256,2.7852,,26.702801,,7.612244,4.272722,16.06723,10.273052,21.354361,4.185823,20.832474,12.381838,11.03095,19.109076,33.147152,5.122653,4.484732,1.87281,1.896953,13.140721,14.855126,11.986798,,,18.490297,18.887108,5.272116,3.632233,,16.735844,8.894691,7.972127,9.340933,13.520929,8.853553,22.57826,,,,11.179641,8.43867,25.587402
