copom_date,delta_selic,selic_meta_aa
2018-02-08,-0.25,6.75
2018-03-22,-0.25,6.5
2019-08-01,-0.5,6.0
2019-09-19,-0.5,5.5
2019-10-31,-0.5,5.0
2019-12-12,-0.5,4.5
2020-02-06,-0.25,4.25
2020-03-19,-0.5,3.75
2020-05-07,-0.75,3.0
2020-06-18,-0.75,2.25
2020-08-06,-0.25,2.0
2021-03-18,0.75,2.75
2021-05-06,0.75,3.5
2021-06-17,0.75,4.25
2021-08-05,1.0,5.25
2021-09-23,1.0,6.25
2021-10-28,1.5,7.75
2021-12-09,1.5,9.25
2022-02-03,1.5,10.75
2022-03-17,1.0,11.75
2022-05-05,1.0,12.75
2022-06-17,0.5,13.25
2022-08-04,0.5,13.75
2023-08-03,-0.5,13.25
2023-09-21,-0.5,12.75
2023-11-03,-0.5,12.25
2023-12-14,-0.5,11.75
2024-02-01,-0.5,11.25
2024-03-21,-0.5,10.75
2024-05-09,-0.25,10.5
2024-09-19,0.25,10.75
2024-11-07,0.5,11.25
2024-12-12,1.0,12.25
2025-01-30,1.0,13.25
2025-03-20,1.0,14.25
2025-05-08,0.5,14.75
2025-06-20,0.25,15.0
