date,ABEV3.SA,ALOS3.SA,ASAI3.SA,AURE3.SA,AXIA3.SA,AZZA3.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BPAC11.SA,BRAP4.SA,BRAV3.SA,BRKM5.SA,CEAB3.SA,CMIG4.SA,CMIN3.SA,COGN3.SA,CPFE3.SA,CPLE3.SA,CSAN3.SA,CSMG3.SA,CSNA3.SA,CURY3.SA,CXSE3.SA,CYRE3.SA,DIRR3.SA,EGIE3.SA,EMBJ3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,ISAE4.SA,ITSA4.SA,ITUB4.SA,KLBN11.SA,LREN3.SA,MBRF3.SA,MGLU3.SA,MOTV3.SA,MRVE3.SA,MULT3.SA,NATU3.SA,PETR3.SA,PETR4.SA,POMO4.SA,PRIO3.SA,PSSA3.SA,RADL3.SA,RAIL3.SA,RDOR3.SA,RECV3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMFT3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VBBR3.SA,VIVA3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2018-01-02,15.339714,18.630672,,,13.986596,43.802502,5.648289,9.39029,11.125825,12.166613,13.367785,8.407753,3.667649,4.20216,,33.29118,,1.498756,,14.881513,12.097425,1.230477,8.852771,6.886005,5.220693,,,8.135427,1.000009,11.773572,20.210405,3.525,17.459717,10.877669,18.720978,6.503602,2.470742,,26.423498,,7.831896,4.080355,15.457801,10.838815,20.852947,4.467326,20.938086,12.751442,10.739914,18.78409,31.883644,4.809078,4.277942,1.817456,1.706259,11.481572,15.508387,12.250866,,,17.908056,18.283031,5.38098,3.451245,,16.151331,9.288568,7.978173,9.073101,13.412889,7.521602,21.669312,,,,11.152704,8.202625,26.494818
2018-01-03,15.375075,18.772038,,,13.807951,45.125137,5.744441,9.510052,11.173159,12.222537,13.377101,8.345989,3.702579,4.241884,,33.010342,,1.485834,,15.011336,11.947998,1.223909,8.852771,6.72269,5.413161,,,8.172074,0.970899,11.694469,20.978638,3.535,17.459717,10.899186,18.354601,6.493572,2.462574,,26.011894,,7.672679,4.128446,15.563485,10.701841,21.118406,4.418369,20.674049,12.659043,10.896081,18.859489,31.626997,4.870128,4.316715,1.868197,1.73721,11.689753,15.124318,11.883057,,,18.151964,18.132214,5.284558,3.481202,,16.030991,9.301553,7.984217,9.265696,13.280448,7.772322,21.539465,,,,10.829435,8.078043,26.51828
2018-01-04,15.29021,18.7274,,,13.718626,46.54892,5.781424,9.601304,11.376628,12.423092,13.405047,8.315105,3.716163,4.362472,,33.511303,,1.468608,,15.214197,11.860829,1.218536,8.831966,6.619043,5.581571,,,8.239257,0.981173,11.54285,21.471092,3.5075,17.180933,10.776379,17.987379,6.844576,2.552419,,26.202993,,7.462323,4.206133,15.887579,10.719708,21.236378,4.418369,21.170439,12.705245,10.825096,18.83869,32.574623,4.911753,4.324471,1.923551,1.797313,11.699213,15.240909,11.901919,,,18.411619,18.350069,5.181915,3.467472,,16.073973,9.154392,7.947951,9.20852,13.435541,8.211083,21.62776,,,,10.947968,7.99936,26.408764
2018-01-05,15.346786,18.74972,,,13.592087,44.985092,5.865246,9.601304,11.380074,12.493457,13.493545,8.407753,3.777605,4.467455,,34.323463,,1.470761,,15.181739,11.667819,1.236447,8.923511,6.672435,5.707877,,,8.367519,0.982885,11.60218,20.338446,3.525,17.433786,10.882483,18.246967,6.759334,2.560586,,26.445541,,7.582028,4.21353,15.933362,10.618466,21.106604,4.455087,20.753263,12.759144,10.981259,18.976482,32.574623,4.950602,4.350318,1.900486,1.898551,11.926324,15.508387,11.883057,,,18.1441,18.545578,5.241013,3.532377,,16.030991,9.197673,8.014436,9.407132,13.463425,7.858506,21.96537,,,,10.974907,8.032146,26.048931
2018-01-08,15.318496,18.228891,,,13.681411,44.432701,5.892367,9.624118,11.380074,12.489929,13.572726,8.12209,3.823894,4.545483,,34.384186,,1.475068,,14.508256,11.854605,1.246597,8.846531,6.713265,5.98455,,,8.410274,0.977748,11.668097,20.387688,3.4525,17.148518,11.025064,17.772116,6.995008,2.593258,,26.17359,,7.542513,4.209831,15.880527,10.809037,21.00042,4.375532,20.755899,12.582042,10.761212,18.739895,32.189651,5.028303,4.402016,1.863584,2.04232,11.866391,15.311204,12.033953,,,18.057549,18.904572,5.348321,3.513654,,16.417799,9.154392,7.905644,9.401116,13.557526,7.944693,22.453608,,,,11.090748,8.097716,26.142803
2018-01-09,15.276064,18.042887,,,13.138024,44.152615,5.808541,9.532866,11.293862,12.373834,13.52615,8.106648,3.79773,4.494411,,34.460091,,1.444921,,14.686769,11.891963,1.233462,8.603104,6.69599,6.146945,,,8.373627,0.984598,11.668097,19.924782,3.475,17.355986,11.025064,17.259274,7.035121,2.589173,,26.313244,,7.591326,4.143244,15.70792,10.689928,21.1243,4.320455,20.25687,12.589743,10.825096,18.794489,31.883644,5.028303,4.402016,1.854359,1.825668,11.948403,15.09688,11.647283,,,17.908056,18.770699,5.275227,3.514903,,16.589712,8.985587,7.917732,9.404125,13.505243,8.030876,22.370502,,,,11.06111,8.228852,25.696917
2018-01-10,15.276064,17.819674,,,12.609525,44.191509,5.75677,9.492944,11.221439,12.243658,13.470257,8.106648,3.771567,4.447593,,34.088161,,1.466454,,14.970768,12.452317,1.248985,8.43666,6.700703,6.164988,,,8.196505,0.989735,11.625253,19.983879,3.4,16.804899,10.940511,17.822763,6.93985,2.597342,,26.210346,,7.554136,4.143244,15.655075,10.481492,20.557993,4.314336,20.46282,12.281735,10.846391,18.695696,32.120552,4.933954,4.342566,1.858972,1.801107,12.207057,14.635661,11.618988,,,17.868713,18.735777,5.169473,3.601028,,16.684267,8.864396,7.730365,9.380051,13.400689,8.030876,22.058863,,,,10.921026,8.163281,25.720388
2018-01-11,15.452869,17.856876,,,12.80306,44.736122,5.850454,9.709666,11.380074,12.489929,13.549439,8.106648,3.763516,4.582368,,35.074909,,1.496602,,14.427115,12.857017,1.245999,8.521964,6.782361,6.525867,,,8.520209,0.991447,11.509887,20.19071,3.45,16.973467,11.005168,17.461876,7.506469,2.728026,,26.320597,,7.446055,4.209831,15.982697,10.42194,20.646482,4.320455,20.49979,12.281735,11.016753,18.929688,32.031712,5.056052,4.458883,1.877423,1.976825,12.456241,14.839694,11.864194,,,18.254251,19.015156,5.237902,3.606022,,16.624098,8.799469,7.760585,9.368014,13.45297,8.461802,22.489964,,,,11.360132,8.320647,26.510456
2018-01-12,15.276064,17.856876,,,12.512756,44.035912,5.820869,9.732482,11.380074,12.489929,13.577385,7.952237,3.773578,4.613581,,35.393703,,1.481529,,13.80232,12.564387,1.23585,8.675925,6.752525,6.321369,,,8.581288,0.960625,11.569218,19.944481,3.4725,17.025331,11.093038,17.354242,7.506469,2.797451,,26.827753,,7.564595,4.220929,15.968596,10.279009,20.823448,4.210302,20.478664,12.366438,10.995459,18.843889,32.604229,5.094903,4.471806,1.849747,1.914924,12.828445,14.831126,11.91135,,,17.92379,18.922029,5.269006,3.594788,,16.563927,8.799469,7.784763,9.352968,13.482592,8.634172,22.619812,,,,11.257766,8.382937,25.814257
2018-01-15,15.431652,17.775028,,,12.676517,45.545265,5.838128,9.780955,11.40766,12.577896,13.558754,7.952237,3.823894,4.610743,,36.22105,,1.475068,,13.745519,13.074932,1.232865,8.671764,6.796496,6.483764,,,8.788948,0.98631,11.631845,19.796743,3.495,16.986435,11.273747,17.639154,7.431254,2.785199,,26.702795,,7.612244,4.27272,16.067225,10.273053,21.354361,4.185823,20.832472,12.381839,11.030948,19.109076,33.147148,5.122653,4.484732,1.87281,1.896953,13.140719,14.855128,11.986797,,,18.490301,18.887106,5.272116,3.632232,,16.735838,8.894691,7.972127,9.340932,13.52093,8.853553,22.57826,,,,11.179645,8.438672,25.587402
