copom_date,delta_selic,sector,median_return_30d,copom_direction,industry
2018-02-08,-0.25,Basic Materials,6.328669596706938,queda,Steel
2018-02-08,-0.25,Communication Services,4.423398287044556,queda,Telecom Services
2018-02-08,-0.25,Consumer Cyclical,6.4688054684928,queda,Specialty Retail
2018-02-08,-0.25,Consumer Defensive,-3.1833441293105835,queda,Education & Training Services
2018-02-08,-0.25,Energy,3.961298154117321,queda,Oil & Gas E&P
2018-02-08,-0.25,Financial Services,6.952128544222269,queda,Banks - Regional
2018-02-08,-0.25,Healthcare,3.2078417028681416,queda,Diagnostics & Research
2018-02-08,-0.25,Industrials,4.199067912692844,queda,Rental & Leasing Services
2018-02-08,-0.25,Real Estate,2.485765942810425,queda,Real Estate - Development
2018-02-08,-0.25,Technology,-0.636739317400048,queda,Software - Application
2018-02-08,-0.25,Utilities,10.731192605712502,queda,Utilities - Regulated Electric
2018-03-22,-0.25,Basic Materials,11.983123477183222,queda,Steel
2018-03-22,-0.25,Communication Services,10.841694892016896,queda,Telecom Services
2018-03-22,-0.25,Consumer Cyclical,-2.025858551070203,queda,Specialty Retail
2018-03-22,-0.25,Consumer Defensive,0.9937735495079814,queda,Education & Training Services
2018-03-22,-0.25,Energy,-4.145194069201263,queda,Oil & Gas E&P
2018-03-22,-0.25,Financial Services,-0.9831710590791243,queda,Banks - Regional
2018-03-22,-0.25,Healthcare,-4.403742504904551,queda,Diagnostics & Research
2018-03-22,-0.25,Industrials,5.561914300675541,queda,Rental & Leasing Services
2018-03-22,-0.25,Real Estate,-3.459685631021464,queda,Real Estate - Development
2018-03-22,-0.25,Technology,10.180391409902345,queda,Software - Application
2018-03-22,-0.25,Utilities,-2.17028212127231,queda,Utilities - Regulated Electric
2019-08-01,-0.5,Basic Materials,-4.688457262770901,queda,Steel
2019-08-01,-0.5,Communication Services,-0.12453952400943713,queda,Telecom Services
2019-08-01,-0.5,Consumer Cyclical,1.7102932848334529,queda,Specialty Retail
2019-08-01,-0.5,Consumer Defensive,-4.3598342274157815,queda,Education & Training Services
2019-08-01,-0.5,Energy,-3.09054564827691,queda,Oil & Gas E&P
2019-08-01,-0.5,Financial Services,-0.5993567810269385,queda,Banks - Regional
2019-08-01,-0.5,Healthcare,2.45224388236176,queda,Diagnostics & Research
2019-08-01,-0.5,Industrials,0.6833860215125442,queda,Rental & Leasing Services
2019-08-01,-0.5,Real Estate,-1.7693190878254326,queda,Real Estate - Development
2019-08-01,-0.5,Technology,10.341030228683756,queda,Software - Application
2019-08-01,-0.5,Utilities,1.4250155335430614,queda,Utilities - Regulated Electric
2019-09-19,-0.5,Basic Materials,-4.34591162776346,queda,Steel
2019-09-19,-0.5,Communication Services,1.1382147161137668,queda,Telecom Services
2019-09-19,-0.5,Consumer Cyclical,10.591198415512615,queda,Specialty Retail
2019-09-19,-0.5,Consumer Defensive,-3.3369748397650834,queda,Education & Training Services
2019-09-19,-0.5,Energy,2.2222382011642727,queda,Oil & Gas E&P
2019-09-19,-0.5,Financial Services,1.2702288466984513,queda,Banks - Regional
2019-09-19,-0.5,Healthcare,3.4523432735052317,queda,Diagnostics & Research
2019-09-19,-0.5,Industrials,-1.2839267240192576,queda,Rental & Leasing Services
2019-09-19,-0.5,Real Estate,1.3819040684043826,queda,Real Estate - Development
2019-09-19,-0.5,Technology,0.5127986005742491,queda,Software - Application
2019-09-19,-0.5,Utilities,-2.8948114117809673,queda,Utilities - Regulated Electric
2019-10-31,-0.5,Basic Materials,10.273855533629872,queda,Steel
2019-10-31,-0.5,Communication Services,11.379579425367192,queda,Telecom Services
2019-10-31,-0.5,Consumer Cyclical,-0.7098120187188806,queda,Specialty Retail
2019-10-31,-0.5,Consumer Defensive,4.154636580112214,queda,Education & Training Services
2019-10-31,-0.5,Energy,5.52252164758622,queda,Oil & Gas E&P
2019-10-31,-0.5,Financial Services,-1.850218057350561,queda,Banks - Regional
2019-10-31,-0.5,Healthcare,0.017702495609706048,queda,Diagnostics & Research
2019-10-31,-0.5,Industrials,2.5044797841890842,queda,Rental & Leasing Services
2019-10-31,-0.5,Real Estate,-0.9845271367735664,queda,Real Estate - Development
2019-10-31,-0.5,Technology,2.195537147971871,queda,Software - Application
2019-10-31,-0.5,Utilities,-0.12143707837133921,queda,Utilities - Regulated Electric
2019-12-12,-0.5,Basic Materials,8.417853404923115,queda,Steel
2019-12-12,-0.5,Communication Services,9.333847182071075,queda,Telecom Services
2019-12-12,-0.5,Consumer Cyclical,2.8979224577401874,queda,Specialty Retail
2019-12-12,-0.5,Consumer Defensive,-0.7332797025272619,queda,Education & Training Services
2019-12-12,-0.5,Energy,5.411241472936146,queda,Oil & Gas E&P
2019-12-12,-0.5,Financial Services,2.7405982440182886,queda,Banks - Regional
2019-12-12,-0.5,Healthcare,8.628772771000559,queda,Diagnostics & Research
2019-12-12,-0.5,Industrials,3.5917737369490554,queda,Rental & Leasing Services
2019-12-12,-0.5,Real Estate,8.786774744134663,queda,Real Estate - Development
2019-12-12,-0.5,Technology,0.7500209532972146,queda,Software - Application
2019-12-12,-0.5,Utilities,7.646788081493949,queda,Utilities - Regulated Electric
2020-02-06,-0.25,Basic Materials,-16.283720315347885,queda,Steel
2020-02-06,-0.25,Communication Services,-1.6300877954481208,queda,Telecom Services
2020-02-06,-0.25,Consumer Cyclical,-14.597785784727535,queda,Specialty Retail
2020-02-06,-0.25,Consumer Defensive,-8.174862739510857,queda,Education & Training Services
2020-02-06,-0.25,Energy,-23.52194511526432,queda,Oil & Gas E&P
2020-02-06,-0.25,Financial Services,-13.950444313965004,queda,Banks - Regional
2020-02-06,-0.25,Healthcare,2.1991668432662648,queda,Diagnostics & Research
2020-02-06,-0.25,Industrials,-13.431209209960738,queda,Rental & Leasing Services
2020-02-06,-0.25,Real Estate,-12.500692719774015,queda,Real Estate - Development
2020-02-06,-0.25,Technology,-13.941171331793045,queda,Software - Application
2020-02-06,-0.25,Utilities,-3.9196674305667925,queda,Utilities - Regulated Electric
2020-03-19,-0.5,Basic Materials,27.578020688387994,queda,Steel
2020-03-19,-0.5,Communication Services,-5.226197411327316,queda,Telecom Services
2020-03-19,-0.5,Consumer Cyclical,20.034052582062813,queda,Specialty Retail
2020-03-19,-0.5,Consumer Defensive,19.049303404647045,queda,Education & Training Services
2020-03-19,-0.5,Energy,34.41671945859708,queda,Oil & Gas E&P
