sector,industry,n_tickers,beta_medio,beta_mediano,beta_abs_medio,share_significativo
Consumer Cyclical,Specialty Retail,3,-18.103526666666664,-19.3689,21.3249,0.0
Consumer Cyclical,Luxury Goods,1,-14.98354,-19.2435,17.13906,0.0
Industrials,Electrical Equipment & Parts,1,-18.20496,-14.4795,18.20496,0.2
Healthcare,Diagnostics & Research,1,-11.397359999999999,-13.7922,11.825239999999999,0.0
Consumer Cyclical,Footwear & Accessories,1,-13.187359999999998,-12.302,13.187359999999998,0.0
Financial Services,Insurance - Life,1,-14.32374,-10.2525,14.32374,0.2
Consumer Defensive,Beverages - Brewers,1,-8.60066,-10.2105,13.806700000000001,0.2
Industrials,Farm & Heavy Construction Machinery,1,-9.18174,-9.7307,12.273340000000001,0.0
Basic Materials,Steel,5,-8.5310875,-9.6119,14.587479166666666,0.0
Real Estate,Real Estate - Development,3,-17.957271428571428,-9.41205,19.33525714285714,0.2857142857142857
Basic Materials,Chemicals,1,-21.61128,-9.3239,21.61128,0.0
Consumer Cyclical,Residential Construction,1,-24.38302,-8.8542,25.767059999999997,0.2
Healthcare,Pharmaceutical Retailers,1,-5.54472,-7.4001,5.586320000000001,0.0
Consumer Cyclical,Department Stores,1,-13.53476,-6.9675,13.53476,0.0
Consumer Defensive,Education & Training Services,2,-17.247329999999998,-6.0787,35.82335,0.1
Industrials,Rental & Leasing Services,2,-10.837522222222223,-5.9575,17.286099999999998,0.0
Energy,Oil & Gas Integrated,2,-13.123619999999999,-5.6151,13.6326,0.0
Basic Materials,Other Industrial Metals & Mining,1,-7.163560000000001,-5.3554,15.76176,0.0
Energy,Oil & Gas Refining & Marketing,2,-16.86414,-4.1188,19.244059999999998,0.1
Technology,Software - Application,1,-11.7504,-4.0443,16.89864,0.0
Industrials,Conglomerates,1,-6.742019999999999,-4.0105,8.722339999999999,0.0
Industrials,Infrastructure Operations,1,-7.99974,-3.9063,13.563139999999999,0.0
Utilities,Utilities - Diversified,1,-10.60734,-3.6748,11.41474,0.0
Financial Services,Asset Management,1,-5.27308,-3.4255,15.98372,0.0
Utilities,Utilities - Regulated Water,2,-10.57398,-3.1418,15.78058,0.0
Utilities,Utilities - Renewable,3,-9.888892307692307,-2.5531,13.977353846153846,0.15384615384615385
Financial Services,Insurance - Diversified,3,-6.982557142857144,-2.4618,10.316771428571428,0.0
Consumer Defensive,Grocery Stores,1,-5.90485,-2.2143,10.69095,0.25
Industrials,Aerospace & Defense,1,-7.139360000000001,-2.1006,11.07304,0.2
Real Estate,Real Estate Services,3,-8.95993076923077,-1.941,9.964546153846154,0.0
Financial Services,Financial Data & Stock Exchanges,1,-12.36612,-1.3887,15.775720000000002,0.2
Communication Services,Telecom Services,2,-0.06426000000000016,-1.3197,8.27294,0.0
Financial Services,Banks - Regional,5,-7.556223999999999,-1.3119,10.04936,0.0
Industrials,Railroads,1,-6.84416,-1.2379,8.056000000000001,0.0
Utilities,Utilities - Regulated Electric,6,-4.34369,-1.1317,8.186223333333334,0.1
Utilities,Utilities - Independent Power Producers,1,-1.7176199999999997,-0.8753,5.35954,0.0
Financial Services,Capital Markets,1,-29.00334,-0.5384,29.478340000000003,0.2
Healthcare,Drug Manufacturers - Specialty & Generic,1,-5.86598,-0.4081,7.56246,0.0
Energy,Oil & Gas E&P,3,-9.310907692307692,0.3959,17.822123076923077,0.0
Consumer Cyclical,Leisure,1,1.6292,0.8791000000000001,3.51865,0.0
Consumer Defensive,Packaged Foods,2,0.8580200000000001,1.1045,6.36158,0.0
Basic Materials,Paper & Paper Products,2,4.41751,2.5794,10.74681,0.1
Healthcare,Medical Care Facilities,1,-1.1687500000000002,3.75275,11.216000000000001,0.25
Consumer Defensive,Farm Products,1,6.949680000000001,9.5903,7.52184,0.0
