community,sector,n_tickers,community_size,sector_size,share_community,share_sector,period,start,end
0,Consumer Defensive,1,1,7,1.0,0.142857,2018Q1,2018-01-01,2018-03-31
1,Real Estate,1,1,4,1.0,0.25,2018Q1,2018-01-01,2018-03-31
2,Communication Services,1,17,2,0.058824,0.5,2018Q1,2018-01-01,2018-03-31
2,Consumer Cyclical,2,17,4,0.117647,0.5,2018Q1,2018-01-01,2018-03-31
2,Energy,1,17,5,0.058824,0.2,2018Q1,2018-01-01,2018-03-31
2,Financial Services,7,17,10,0.411765,0.7,2018Q1,2018-01-01,2018-03-31
2,Industrials,3,17,7,0.176471,0.428571,2018Q1,2018-01-01,2018-03-31
2,Real Estate,1,17,4,0.058824,0.25,2018Q1,2018-01-01,2018-03-31
2,Utilities,2,17,12,0.117647,0.166667,2018Q1,2018-01-01,2018-03-31
3,Consumer Cyclical,1,1,4,1.0,0.25,2018Q1,2018-01-01,2018-03-31
4,Consumer Defensive,1,1,7,1.0,0.142857,2018Q1,2018-01-01,2018-03-31
5,Financial Services,1,1,10,1.0,0.1,2018Q1,2018-01-01,2018-03-31
6,Basic Materials,6,8,8,0.75,0.75,2018Q1,2018-01-01,2018-03-31
6,Financial Services,1,8,10,0.125,0.1,2018Q1,2018-01-01,2018-03-31
6,Industrials,1,8,7,0.125,0.142857,2018Q1,2018-01-01,2018-03-31
7,Communication Services,1,1,2,1.0,0.5,2018Q1,2018-01-01,2018-03-31
8,Consumer Defensive,1,1,7,1.0,0.142857,2018Q1,2018-01-01,2018-03-31
9,Utilities,1,1,12,1.0,0.083333,2018Q1,2018-01-01,2018-03-31
10,Energy,1,1,5,1.0,0.2,2018Q1,2018-01-01,2018-03-31
11,Consumer Defensive,2,6,7,0.333333,0.285714,2018Q1,2018-01-01,2018-03-31
11,Energy,1,6,5,0.166667,0.2,2018Q1,2018-01-01,2018-03-31
11,Healthcare,1,6,3,0.166667,0.333333,2018Q1,2018-01-01,2018-03-31
11,Utilities,2,6,12,0.333333,0.166667,2018Q1,2018-01-01,2018-03-31
12,Real Estate,1,1,4,1.0,0.25,2018Q1,2018-01-01,2018-03-31
13,Industrials,1,1,7,1.0,0.142857,2018Q1,2018-01-01,2018-03-31
14,Utilities,1,1,12,1.0,0.083333,2018Q1,2018-01-01,2018-03-31
15,Utilities,1,1,12,1.0,0.083333,2018Q1,2018-01-01,2018-03-31
16,Utilities,1,1,12,1.0,0.083333,2018Q1,2018-01-01,2018-03-31
17,Healthcare,1,1,3,1.0,0.333333,2018Q1,2018-01-01,2018-03-31
18,Healthcare,1,1,3,1.0,0.333333,2018Q1,2018-01-01,2018-03-31
19,Utilities,1,1,12,1.0,0.083333,2018Q1,2018-01-01,2018-03-31
20,Basic Materials,1,1,8,1.0,0.125,2018Q1,2018-01-01,2018-03-31
21,Consumer Cyclical,1,5,4,0.2,0.25,2018Q1,2018-01-01,2018-03-31
21,Energy,1,5,5,0.2,0.2,2018Q1,2018-01-01,2018-03-31
21,Industrials,1,5,7,0.2,0.142857,2018Q1,2018-01-01,2018-03-31
21,Utilities,2,5,12,0.4,0.166667,2018Q1,2018-01-01,2018-03-31
22,Industrials,1,1,7,1.0,0.142857,2018Q1,2018-01-01,2018-03-31
